,title,movie_id,score,genre
0,너의 이름은.,2909332.0,8.78,드라마
1,라라랜드,2747742.0,8.6,드라마
2,증인,4034051.0,9.09,드라마
3,청년경찰,2996569.0,8.26,액션
4,돈,4113612.0,7.41,액션
5,비긴 어게인,1781025.0,9.03,코미디
6,미스 슬로운,2743970.0,9.34,드라마
7,신과함께-죄와 벌,3237000.0,7.83,드라마
8,아이 필 프리티,3478480.0,8.58,코미디
9,리틀 포레스트,3327477.0,8.8,드라마
10,어바웃 타임,1402314.0,9.18,코미디
11,나의 소녀시대,2595217.0,8.83,드라마
12,초한지 - 천하대전,387281.0,7.77,액션
13,해리 포터와 마법사의 돌,412868.0,9.28,액션
14,동주,2260112.0,9.37,드라마
15,하늘이 보내준 딸,387330.0,8.67,드라마
16,노트북,585441.0,9.04,드라마
17,어벤져스: 엔드게임,4356726.0,9.38,액션
18,남산의 부장들,4885026.0,7.47,드라마
19,내 사랑,2973662.0,9.17,드라마
20,핵소 고지,2695985.0,9.22,액션
21,"나는 내일, 어제의 너와 만난다",3071225.0,8.88,SF/판타지
22,파이브 피트,4247261.0,9.0,드라마
23,"조제, 호랑이 그리고 물고기들",1773569.0,9.01,드라마
24,헝거게임 : 판엠의 불꽃,464105.0,7.19,액션
25,해리 포터와 비밀의 방,412869.0,8.87,액션
26,마담 프루스트의 비밀정원,1602307.0,8.92,코미디
27,러브 액츄얼리,2598223.0,8.94,코미디
28,내안의 그놈,3946661.0,8.16,코미디
29,500일의 썸머,1605628.0,8.42,코미디
30,어벤져스,475495.0,8.8,액션
31,이미테이션 게임,1783636.0,8.8,드라마
32,롱 리브 더 킹: 목포 영웅,4321959.0,7.53,액션
33,해리 포터와 아즈카반의 죄수,412870.0,8.71,액션
34,싱 스트리트,2385950.0,9.04,드라마
35,해리 포터와 불의 잔,412871.0,7.96,액션
36,정직한 후보,4983579.0,7.68,코미디
37,말모이,3954927.0,9.11,드라마
38,애프터,4465876.0,7.29,드라마
39,가디언즈 오브 갤럭시,1682666.0,8.57,액션
40,바람,407404.0,9.27,액션
41,천안함 프로젝트,1172803.0,4.35,다큐멘터리
42,해리 포터와 죽음의 성물 - 2부,833095.0,9.32,액션
43,해리 포터와 불사조 기사단,413011.0,7.0,액션
44,헝거게임: 캣칭 파이어,1432347.0,8.33,액션
45,해리 포터와 혼혈 왕자,413012.0,6.9,액션
46,어벤져스: 에이지 오브 울트론,1991220.0,8.31,액션
47,인턴,2129302.0,9.0,코미디
48,리틀 포레스트: 여름과 가을,1757148.0,8.39,드라마
49,82년생 김지영,4675318.0,6.72,드라마
50,언터처블: 1%의 우정,409693.0,9.34,코미디
51,인셉션,498928.0,9.23,액션
52,어벤져스: 인피니티 워,3532815.0,8.96,액션
53,스파이더맨: 홈커밍,2998197.0,8.36,액션
54,극한직업,4017123.0,8.5,코미디
55,해리 포터와 죽음의 성물 - 1부,642117.0,8.2,액션
56,무간도,2236091.0,9.1,액션
57,신과함께-인과 연,3642448.0,7.71,드라마
58,트랜센던스,1561563.0,7.97,액션
59,마녀,3542178.0,8.2,액션
60,코코,3241116.0,9.3,액션
61,바보,412786.0,8.05,드라마
62,메이즈 러너,1703054.0,8.29,액션
63,너의 결혼식,3662352.0,8.4,이석근
64,가디언즈 오브 갤럭시 VOL. 2,2968106.0,8.94,액션
65,소공녀,3353150.0,8.78,드라마
66,"스탠바이, 웬디",3453277.0,8.85,코미디
67,더 헌트,583380.0,8.99,드라마
68,아이 캔 스피크,3048374.0,9.37,드라마
69,아메리칸 셰프,1726364.0,8.77,코미디
70,그렇게 아버지가 된다,1473819.0,8.88,드라마
71,더 킹,2657298.0,8.09,액션
72,겟 아웃,2832638.0,8.29,드라마
73,아이언맨,1120715.0,8.92,액션
75,이프 온리,3100069.0,9.07,코미디
76,킬러의 보디가드,3024534.0,8.4,액션
77,주토피아,2290478.0,9.36,액션
78,바닷마을 다이어리,2173885.0,8.74,드라마
79,"지금, 만나러 갑니다",1934115.0,9.34,드라마
81,시동,4792629.0,7.55,드라마
82,인사이드 아웃,2015025.0,9.08,코미디
83,세 얼간이,2571619.0,9.35,코미디
84,비포 선라이즈,649232.0,8.88,드라마
85,아이언맨 3,1161090.0,8.86,액션
86,굿 윌 헌팅,2289788.0,9.36,드라마
87,개를 훔치는 완벽한 방법,1725493.0,9.04,드라마
88,럭키,2525467.0,8.45,코미디
89,블랙머니,4720487.0,8.41,액션
90,장난스런 키스,4140440.0,8.16,프랭키 첸
91,위대한 쇼맨,3239240.0,9.4,드라마
92,신비한 동물사전,2607002.0,8.18,액션
93,헝거게임 : 더 파이널,2249341.0,7.63,액션
94,열두살 샘,409466.0,8.89,드라마
95,컨테이젼,407973.0,8.18,공포/스릴러
96,퍼스트 어벤져,1101023.0,7.78,액션
97,리틀 포레스트2: 겨울과 봄,1902634.0,8.45,드라마
98,히든 피겨스,2767689.0,9.37,드라마
99,목소리의 형태,2818403.0,8.45,애니메이션
100,메이즈 러너: 스코치 트라이얼,2078339.0,8.07,액션
101,원더,3262024.0,9.5,드라마
102,"나, 다니엘 블레이크",2596493.0,9.3,드라마
103,미 비포 유,2441904.0,8.49,테아 샤록
104,"광해, 왕이 된 남자",557744.0,9.24,드라마
105,검은 사제들,2089033.0,8.32,드라마
106,강철비,3187608.0,8.33,액션
107,스윗 프랑세즈,2088317.0,9.03,액션
108,부산행,2595211.0,8.0,액션
109,플립,2502790.0,9.26,드라마
110,봉오동 전투,4455723.0,7.92,액션
111,지구,408045.0,8.61,액션
112,악마는 프라다를 입는다,1602622.0,8.67,코미디
113,다크 나이트,412979.0,9.34,액션
114,너의 췌장을 먹고 싶어,3184743.0,8.07,드라마
115,해피 해피 브레드,434860.0,7.74,드라마
116,국제시장,1810869.0,9.01,드라마
117,유열의 음악앨범,4498617.0,6.17,드라마
118,런던 해즈 폴른,2262159.0,7.37,액션
119,모아나,2645401.0,9.17,액션
120,아이언맨 2,1120717.0,7.36,액션
122,스파이,1859356.0,8.81,액션
123,토르: 다크 월드,1384585.0,8.35,액션
124,이터널 선샤인,2679957.0,9.11,드라마
125,겨울왕국,1398961.0,9.12,액션
126,딥워터 호라이즌,2638481.0,8.08,액션
127,오베라는 남자,2342386.0,9.22,드라마
129,건축학개론,1898985.0,8.67,이용주
130,닥터 스트레인지,2629558.0,8.71,액션
131,행복 목욕탕,2748870.0,8.43,드라마
133,서치,3687182.0,8.92,드라마
134,레미제라블,589419.0,8.37,드라마
135,마션,2101526.0,8.42,액션
136,토르: 천둥의 신,1235813.0,7.32,액션
